job_order_id,service_name,category,quantity,unit_price,total,base_duration_hours,include,is_synthetic
1,Down Clutch / Pulldown Transmission,Transmission,1.0,6000.0,6000.0,4.5,True,False
1,General Engine Overhaul,Engine Overhaul,1.0,22950.0,22950.0,24.0,True,False
2,Down Clutch / Pulldown Transmission,Transmission,1.0,4000.0,4000.0,4.5,True,False
3,Down Clutch / Pulldown Transmission,Transmission,1.0,1800.0,1800.0,4.5,True,False
5,Top Overhaul,Engine Overhaul,1.0,12000.0,12000.0,14.0,True,False
5,Power Steering Pump Overhaul / Replacement,Steering & Suspension,1.0,1500.0,1500.0,2.0,True,False
5,Wheel Alignment,Steering & Suspension,1.0,800.0,800.0,1.0,True,False
5,Overhaul / Replace Steering Rack & Pinion,Steering & Suspension,1.0,3500.0,3500.0,4.0,True,False
6,Replace Timing Belt / Chain,Engine,1.0,3500.0,3500.0,4.0,True,False
6,Replace Suspension Bushing,Steering & Suspension,1.0,1500.0,1500.0,2.5,True,False
6,Replace Shock Absorbers,Steering & Suspension,1.0,1200.0,2000.0,2.0,True,False
7,Air Conditioning Cleaning & Freon Charge,Climate Control,1.0,7000.0,7000.0,3.0,True,False
7,General Mechanical Inspection & Check-Up,General Service,1.0,800.0,800.0,0.5,True,False
8,General Mechanical Inspection & Check-Up,General Service,1.0,800.0,10000.0,0.5,True,False
8,Starter Motor Repair / Replacement,Diagnostics & Electrical,1.0,2050.0,2300.0,1.5,True,False
9,Radiator Replacement / Repair,Engine Cooling,1.0,1000.0,1000.0,1.5,True,False
10,General Mechanical Inspection & Check-Up,General Service,1.0,800.0,800.0,0.5,True,False
11,Down Clutch / Pulldown Transmission,Transmission,1.0,3500.0,3500.0,4.5,True,False
12,Down Clutch / Pulldown Transmission,Transmission,1.0,3500.0,3500.0,4.5,True,False
13,Replace Suspension Bushing,Steering & Suspension,1.0,1500.0,1500.0,2.5,True,False
13,Tire Rotation & Balancing,Steering & Suspension,1.0,1500.0,1500.0,0.75,True,False
13,Change Oil,Maintenance,1.0,650.0,650.0,0.75,True,False
14,Replace Suspension Bushing,Steering & Suspension,1.0,1500.0,1500.0,2.5,True,False
14,Replace Wheel Bearing,Steering & Suspension,1.0,1800.0,1800.0,1.5,True,False
14,Change Oil,Maintenance,1.0,650.0,650.0,0.75,True,False
14,Replace Brake Pads,Braking,1.0,1500.0,1500.0,1.0,True,False
15,General Mechanical Inspection & Check-Up,General Service,1.0,800.0,800.0,0.5,True,False
16,Down Clutch / Pulldown Transmission,Transmission,1.0,3500.0,3500.0,4.5,True,False
17,Change Oil,Maintenance,1.0,650.0,650.0,0.75,True,False
18,Wheel Alignment,Steering & Suspension,1.0,800.0,800.0,1.0,True,False
18,Cleaning EGR,Intake & Exhaust,1.0,4500.0,4500.0,3.5,True,False
18,Rotor Disc Refacing / Resurfacing,Braking,1.0,4000.0,4000.0,2.0,True,False
18,Replace Tie Rod End,Steering & Suspension,1.0,1000.0,1000.0,1.0,True,False
18,Replace Brake Shoes,Braking,1.0,800.0,800.0,1.0,True,False
18,Change Oil,Maintenance,1.0,800.0,800.0,0.75,True,False
18,Replace Fuel Filter,Maintenance,1.0,550.0,550.0,0.75,True,False
18,Brake Service & Cleaning,Braking,1.0,500.0,500.0,1.25,True,False
18,Replace Fuel Pump,Maintenance,1.0,925.0,925.0,1.5,True,False
19,Replace Shock Absorbers,Steering & Suspension,1.0,1800.0,1800.0,2.0,True,False
19,Rotor Disc Refacing / Resurfacing,Braking,1.0,4000.0,4000.0,2.0,True,False
19,Replace Shock Absorbers,Steering & Suspension,1.0,600.0,600.0,2.0,True,False
20,Engine Diagnostics & Electrical Scan,Diagnostics & Electrical,1.0,1500.0,1500.0,0.75,True,False
20,Replace Fuel Pump,Maintenance,1.0,1300.0,1300.0,1.5,True,False
20,Replace Spark Plugs,Ignition & Electrical,1.0,200.0,200.0,0.5,True,False
23,General Engine Overhaul,Engine Overhaul,1.0,18000.0,18000.0,24.0,True,False
23,Change Oil,Maintenance,1.0,800.0,800.0,0.75,True,False
24,Wheel Alignment,Steering & Suspension,1.0,800.0,800.0,1.0,True,False
24,Rotor Disc Refacing / Resurfacing,Braking,1.0,4000.0,4000.0,2.0,True,False
24,Cleaning EGR,Intake & Exhaust,1.0,4500.0,4500.0,3.5,True,False
24,Replace Tie Rod End,Steering & Suspension,1.0,1000.0,1000.0,1.0,True,False
24,Replace Brake Shoes,Braking,1.0,800.0,800.0,1.0,True,False
24,Change Oil,Maintenance,1.0,800.0,800.0,0.75,True,False
24,Replace Fuel Filter,Maintenance,1.0,550.0,550.0,0.75,True,False
24,General Mechanical Inspection & Check-Up,General Service,1.0,500.0,500.0,0.5,True,False
24,Coolant Flush,Engine Cooling,1.0,500.0,500.0,0.75,True,False
25,Top Overhaul,Engine Overhaul,1.0,15000.0,15000.0,14.0,True,False
25,Change Oil,Maintenance,1.0,500.0,500.0,0.75,True,False
26,Replace Wheel Bearing,Steering & Suspension,1.0,800.0,800.0,1.5,True,False
26,Engine Diagnostics & Electrical Scan,Diagnostics & Electrical,1.0,1500.0,1500.0,0.75,True,False
