estimated_duration_mins,actual_amount,service_id,base_price,base_duration_hours,is_price_fixed,vehicle_age,vehicle_type_encoded,actual_duration_mins,predicted_duration_mins
127.01666666666667,4052.12,3,800.0,0.5,True,10,3,150.46666666666667,149.17500000000007
117.26666666666667,1059.53,6,4500.0,0.5,True,2,0,150.58333333333334,142.36333333333346
41.483333333333334,4477.46,4,1200.0,1.0,True,1,3,33.666666666666664,49.95149999999999
169.83333333333334,3952.56,7,2500.0,1.0,True,10,5,193.16666666666666,180.33083333333332
229.86666666666667,3809.64,3,800.0,0.5,True,10,0,249.05,247.26283333333305
55.36666666666667,4965.73,3,800.0,0.5,True,4,1,66.58333333333333,71.58866666666661
224.56666666666666,5047.5,5,2000.0,1.5,False,3,2,265.28333333333336,250.2446666666666
34.016666666666666,4909.01,1,1500.0,1.0,True,12,2,70.9,60.7081666666666
70.23333333333333,1385.6,7,2500.0,1.0,True,8,1,76.3,80.02150000000007
209.1,7030.63,2,3500.0,2.0,False,6,5,216.18333333333334,218.7916666666666
84.55,4840.46,7,2500.0,1.0,True,6,1,83.7,101.76733333333331
156.95,6570.19,5,2000.0,1.5,False,15,4,187.78333333333333,180.31049999999985
65.78333333333333,6780.9,4,1200.0,1.0,True,10,3,72.85,72.97500000000008
135.31666666666666,1438.35,7,2500.0,1.0,True,9,5,130.35,135.5428333333335
237.3,3666.97,3,800.0,0.5,True,1,2,270.1,261.50299999999976
218.93333333333334,2688.69,8,4000.0,2.0,False,9,1,241.15,235.8905000000001
119.61666666666666,1646.02,1,1500.0,1.0,True,1,1,131.96666666666667,135.57700000000006
198.96666666666667,6735.01,8,4000.0,2.0,False,2,2,228.86666666666667,222.67199999999968
118.35,533.87,5,2000.0,1.5,False,11,4,123.95,129.06700000000004
174.46666666666667,3442.14,7,2500.0,1.0,True,16,5,159.96666666666667,171.23166666666683
236.41666666666666,3056.83,8,4000.0,2.0,False,1,3,243.56666666666666,243.7388333333333
53.63333333333333,3799.99,4,1200.0,1.0,True,5,5,48.3,62.33183333333335
208.41666666666666,2989.33,6,4500.0,0.5,True,1,3,223.7,227.8511666666669
92.63333333333334,2058.5,3,800.0,0.5,True,11,3,112.48333333333333,114.01550000000002
238.13333333333333,6162.74,5,2000.0,1.5,False,12,0,269.43333333333334,262.31399999999985
53.083333333333336,965.95,6,4500.0,0.5,True,4,1,93.73333333333333,80.41100000000004
85.15,4936.72,6,4500.0,0.5,True,16,4,101.63333333333334,104.56883333333332
107.95,7524.62,2,3500.0,2.0,False,2,5,140.7,133.24100000000016
127.85,2543.58,5,2000.0,1.5,False,0,1,168.58333333333334,163.11066666666684
226.36666666666667,6492.27,7,2500.0,1.0,True,5,4,217.56666666666666,228.14100000000005
40.983333333333334,2134.26,6,4500.0,0.5,True,4,4,74.23333333333333,63.80416666666668
153.25,7187.78,4,1200.0,1.0,True,0,4,153.25,155.22083333333333
169.21666666666667,674.51,5,2000.0,1.5,False,4,1,162.75,171.55283333333333
194.08333333333334,3954.96,7,2500.0,1.0,True,9,5,199.31666666666666,205.92916666666667
212.28333333333333,1485.44,2,3500.0,2.0,False,11,4,244.05,238.74599999999967
40.56666666666667,4756.43,6,4500.0,0.5,True,4,1,69.0,63.21200000000002
123.01666666666667,4607.16,6,4500.0,0.5,True,6,4,149.61666666666667,141.56483333333344
152.51666666666668,3887.52,3,800.0,0.5,True,6,4,142.21666666666667,163.05966666666663
204.6,5632.65,5,2000.0,1.5,False,6,4,193.56666666666666,222.11933333333337
81.41666666666667,1459.21,2,3500.0,2.0,False,14,2,80.21666666666667,86.73766666666657
188.3,7642.78,3,800.0,0.5,True,5,0,220.03333333333333,211.45299999999992
110.21666666666667,6328.43,4,1200.0,1.0,True,0,5,135.5,132.09949999999998
110.38333333333334,6501.03,3,800.0,0.5,True,12,4,154.65,126.93183333333342
44.05,6310.2,3,800.0,0.5,True,6,5,34.68333333333333,38.98716666666669
205.0,6603.12,6,4500.0,0.5,True,1,1,237.9,228.7416666666668
96.23333333333333,3354.38,5,2000.0,1.5,False,7,2,93.2,98.37166666666666
162.18333333333334,2280.2,2,3500.0,2.0,False,15,2,184.21666666666667,184.40216666666677
237.76666666666668,3048.72,6,4500.0,0.5,True,12,3,246.55,246.88133333333343
