id,session_id,sender_type,sender_id,message_text,sent_at,is_read_by_customer,is_read_by_admin
1,189,customer,430,customer_m2,2026-05-03 19:35:38.293298,False,True
2,189,customer,430,customer_m5,2026-05-03 03:35:38.293298,False,False
3,189,admin,379,admin_m2,2026-05-03 21:35:38.293298,True,False
4,189,customer,430,customer_m5,2026-05-03 19:35:38.293298,False,True
5,189,customer,430,customer_m1,2026-05-03 20:35:38.293298,False,True
6,189,admin,379,admin_m2,2026-05-03 19:35:38.293298,False,False
7,189,customer,430,customer_m3,2026-05-03 23:35:38.293298,False,True
8,189,admin,379,admin_m1,2026-05-03 20:35:38.293298,True,False
9,189,customer,430,customer_m2,2026-05-03 22:35:38.293298,False,True
10,189,admin,379,admin_m3,2026-05-03 10:35:38.293298,True,False
11,189,bot,,bot_m4,2026-05-03 19:35:38.293298,False,False
12,189,customer,430,customer_m5,2026-05-03 21:35:38.293298,False,False
13,189,admin,379,admin_m1,2026-05-03 20:35:38.293298,True,False
14,189,bot,,bot_m4,2026-05-03 20:35:38.293298,False,False
15,189,customer,430,customer_m2,2026-05-04 01:35:38.293298,False,False
16,189,bot,,bot_m3,2026-05-03 03:35:38.293298,True,False
17,189,admin,379,admin_m4,2026-05-03 22:35:38.293298,True,False
18,189,bot,,bot_m5,2026-05-03 21:35:38.293298,True,False
19,189,customer,430,customer_m5,2026-05-03 19:35:38.293298,False,True
20,189,admin,379,admin_m5,2026-05-03 15:35:38.293298,False,False
21,189,customer,430,customer_m1,2026-05-03 10:35:38.293298,False,True
22,189,bot,,bot_m4,2026-05-03 03:35:38.293298,True,False
23,189,admin,379,admin_m1,2026-05-03 12:35:38.293298,True,False
24,189,customer,430,customer_m3,2026-05-03 20:35:38.293298,False,True
25,189,customer,430,customer_m1,2026-05-03 09:35:38.293298,False,False
26,189,customer,430,customer_m2,2026-05-03 05:35:38.293298,False,False
27,189,customer,430,customer_m1,2026-05-03 16:35:38.293298,False,False
28,189,admin,379,admin_m1,2026-05-03 08:35:38.293298,True,False
29,189,admin,379,admin_m1,2026-05-03 23:35:38.293298,True,False
30,189,bot,,bot_m4,2026-05-03 17:35:38.293298,True,False
31,189,bot,,bot_m2,2026-05-03 08:35:38.293298,False,True
32,189,admin,379,admin_m1,2026-05-03 19:35:38.293298,False,False
33,189,admin,379,admin_m1,2026-05-03 19:35:38.293298,False,False
34,189,bot,,bot_m5,2026-05-03 12:35:38.293298,False,False
35,189,admin,379,admin_m2,2026-05-03 05:35:38.293298,False,False
36,189,admin,379,admin_m2,2026-05-03 05:35:38.293298,True,False
37,189,bot,,bot_m5,2026-05-03 13:35:38.293298,True,True
38,189,customer,430,customer_m4,2026-05-03 08:35:38.293298,False,True
39,189,admin,379,admin_m5,2026-05-03 10:35:38.293298,False,False
40,189,admin,379,admin_m3,2026-05-03 09:35:38.293298,False,False
41,189,bot,,bot_m1,2026-05-03 14:35:38.293298,True,False
42,189,bot,,bot_m2,2026-05-03 21:35:38.293298,True,False
43,189,admin,379,admin_m1,2026-05-03 13:35:38.293298,True,False
44,189,customer,430,customer_m1,2026-05-04 01:35:38.293298,False,False
45,189,admin,379,admin_m4,2026-05-03 20:35:38.293298,True,False
46,189,admin,379,admin_m1,2026-05-03 10:35:38.293298,True,False
