id,user_id,promo_code,offer_type,discount_value,description,issue_date,expiration_date,is_claimed,claimed_on_job_order_id
1,426,FIX-1-92E5,fixed_discount,1554.06,Use this voucher to get a fixed amount deducted from your total cost.,2026-07-26,2026-08-25,True,156
2,181,PCT-2-73B3,percentage_discount,14.32,Enjoy a percentage off your total bill on your next visit.,2026-07-04,2026-08-03,False,
3,378,PCT-3-FB62,percentage_discount,24.79,Enjoy a percentage off your total bill on your next visit.,2026-08-03,2026-09-02,False,
4,41,FIX-4-B426,fixed_discount,1475.82,Use this voucher to get a fixed amount deducted from your total cost.,2026-07-04,2026-08-03,True,478
5,151,VIP-5-05CF,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-04-24,2026-05-24,False,
6,23,FREE-6-D740,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-03-15,2026-04-14,False,
7,485,PCT-7-978E,percentage_discount,14.49,Enjoy a percentage off your total bill on your next visit.,2026-03-04,2026-04-03,False,
8,495,PCT-8-ACDA,percentage_discount,22.41,Enjoy a percentage off your total bill on your next visit.,2026-06-25,2026-07-25,False,
9,335,FIX-9-C6F6,fixed_discount,1537.12,Use this voucher to get a fixed amount deducted from your total cost.,2026-05-30,2026-06-29,False,
10,5,VIP-10-1EE0,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-04-06,2026-05-06,False,
11,76,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-07-31,2026-08-30,False,
12,424,PCT-12-9C4F,percentage_discount,24.90,Enjoy a percentage off your total bill on your next visit.,2026-03-09,2026-04-08,True,38
13,470,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-04-23,2026-05-23,False,
14,179,PCT-14-1BE8,percentage_discount,13.82,Enjoy a percentage off your total bill on your next visit.,2026-04-08,2026-05-08,False,
15,223,FREE-15-802E,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-06-27,2026-07-27,False,
16,408,PCT-16-D031,percentage_discount,23.33,Enjoy a percentage off your total bill on your next visit.,2026-05-19,2026-06-18,False,
17,243,FIX-17-ADD9,fixed_discount,1702.37,Use this voucher to get a fixed amount deducted from your total cost.,2026-06-03,2026-07-03,False,
